"Keyword","Score"
"incident","0.08781","2"
"time.ira","0.08748","1"
"riles","0.08685","1"
"kleis","0.08666","1"
"studio","0.08638","1"
"seen.zoe","0.08625","1"
"definite","0.08625","1"
"stick","0.08625","2"
"followed","0.08625","1"
"connection","0.08625","1"
"lying","0.08620","2"
"planets.zoe","0.08573","1"
"omarmy","0.08528","1"
"database","0.08499","1"
"sueok","0.08371","1"
"slides","0.08317","1"
"minnesota.they","0.08289","1"
"planned","0.08289","1"
"marriage","0.08289","1"
"branstneryou","0.08289","1"
"visa","0.08289","1"
"bensontalking","0.08289","1"
"sunday","0.08289","1"
"universe","0.08289","1"
"clarifies.manwe","0.08289","1"
"omaryou","0.08289","1"
"way.ira","0.08262","1"
"volunteers","0.08262","2"
"sense","0.08262","1"
"save","0.08262","1"
"hated","0.08260","1"
"dumping","0.08006","1"
"tuning","0.08006","1"
"racist.zoe","0.08006","1"
"tax","0.08006","1"
"flipping","0.07981","1"
"cloud tonight","0.07935","1"
"hand","0.07900","1"
"signs","0.07900","1"
"surge","0.07900","1"
"suggesting","0.07840","1"
"cursing","0.07796","1"
"freaking","0.07796","1"
"resent","0.07796","1"
"climbing","0.07796","1"
"premiere","0.07774","1"
"moneywise.zoe","0.07774","1"
"till","0.07755","1"
"ball","0.07755","1"
"martin","0.07712","1"
"tweets","0.07684","1"
"tenants","0.07678","1"
"optimist","0.07589","1"
"moneymaker","0.07589","1"
"drain","0.07589","1"
"joke.i","0.07589","1"
"offset","0.07589","1"
"realtor","0.07589","1"
"disturbed","0.07589","2"
"hour","0.07589","1"
"bright","0.07589","1"
"listing","0.07589","1"
"beat","0.07589","1"
"long.rob","0.07557","1"
"longyeah","0.07557","1"
"chaceyeah","0.07528","1"
"chacesay","0.07528","1"
"chaceevery","0.07528","1"
"chaceso","0.07528","1"
"poverty","0.07465","1"
"time.womanfor","0.07416","1"
"reporter","0.07412","1"
"glassok","0.07407","1"
"glassright","0.07407","1"
"glassone","0.07407","1"
"near","0.07256","1"
"vent","0.07256","1"
"pouring","0.07219","1"
"blown","0.07219","1"
"metro","0.06082","1"
"group.carolwell","0.06082","1"
"dave","0.06082","1"
"suea","0.06082","1"
"smile","0.05817","9"
"squeeze","0.05817","1"
"complaints","0.05817","1"
"fed","0.05817","1"
"womanyou","0.05817","1"
"line.rob","0.05817","1"
"southern","0.05817","1"
"fret","0.05817","1"
"case","0.05817","1"
"stay","0.05817","1"
"do.tom","0.05817","1"
"encourage","0.05817","1"
"matter","0.05817","1"
"announcement","0.05817","1"
"spelled","0.05817","1"
"die.zoe","0.05817","1"
"episodes","0.05817","1"
"groaning","0.05817","1"
"gay","0.05817","1"
"zoe.zoe","0.05817","1"
"politician","0.05817","1"
"moment.zoe","0.05817","1"
"fox","0.05817","1"
"location","0.05817","1"
"father","0.05817","1"
"hey","0.05817","1"
"received","0.05817","1"
"ayan.ayan","0.05817","1"
"orchestrator","0.05817","1"
"table.zoe","0.05817","1"
"san","0.05817","1"
"two-hour","0.05817","1"
"nightmare","0.05817","1"
"switch","0.05817","1"
"mayor","0.05817","2"
"handle","0.05817","1"
"smoking","0.05817","1"
"prays","0.05817","1"
"suewe","0.05817","1"
"full","0.05817","1"
"interpreters","0.05817","1"
"girlfriends.zoe","0.05817","1"
"transcripts","0.05817","2"
"blog","0.05817","1"
"producers","0.05817","3"
"sueyou","0.05817","1"
"production","0.05817","1"
"occasions","0.05817","1"
"questioner","0.05817","1"
"gosh","0.05817","1"
"notch","0.05817","1"
"stearns","0.05817","1"
"express","0.05817","1"
"pain.rob","0.05817","1"
"light","0.05817","1"
"symbolism","0.05817","1"
"dream","0.05817","1"
"suei","0.05817","1"
"leave.zoe","0.05817","1"
"dangers","0.05817","1"
"area.this","0.05817","1"
"contain","0.05817","1"
"deals","0.05817","1"
"hmm","0.05817","1"
"monday","0.05817","1"
"institute","0.05817","1"
"defund","0.05817","1"
"lapels","0.05817","1"
"truth","0.05817","1"
"computer","0.05817","1"
"battlegrounds","0.05817","1"
"instance","0.05817","1"
"miss","0.05817","1"
"exists","0.05817","1"
"president.moderatorsit","0.05817","1"
"victim.bobby","0.05817","1"
"neck","0.05817","1"
"immigrant.ron","0.05817","1"
"summarizes","0.05817","1"
"cheering","0.05817","1"
"pandemonium","0.05817","1"
"laughter","0.05817","1"
"treat","0.05817","1"
"respected","0.05817","2"
"ten","0.05817","1"
"joke","0.05817","1"
"governor","0.05817","1"
"warns","0.05817","2"
"us.aj","0.05817","1"
"e-mail","0.05817","1"
"google","0.05817","1"
"coming","0.05817","1"
"eavesdrop","0.05817","1"
"drive","0.05817","1"
"hurt","0.05817","1"
"sake","0.05817","1"
"punish","0.05817","1"
"did","0.05817","1"
"cloud","0.03968","33"
"2016","0.00000","16"
"five or","0.00000","6"
"kenya","0.00000","1"
"about 40 %","0.00000","5"
"benjamin [","0.00000","1"
